simulation_day,patients_treated,total_pfs_available,biomarker_group,group_patients_treated,group_pfs_count,mean_pfs,pfs_sd,lower_boundary,upper_boundary,best_elapsed_pfs,best_ongoing_pfs
1,1,0,Low,0,0,,,,,,
1,1,0,Medium,1,0,,,,,,0.0
1,1,0,High,0,0,,,,,,
2,2,0,Low,0,0,,,,,,
2,2,0,Medium,2,0,,,,,,1.0
2,2,0,High,0,0,,,,,,
3,3,0,Low,1,0,,,,,,0.0
3,3,0,Medium,2,0,,,,,,2.0
3,3,0,High,0,0,,,,,,
4,4,0,Low,1,0,,,,,,1.0
4,4,0,Medium,3,0,,,,,,3.0
4,4,0,High,0,0,,,,,,
5,5,0,Low,2,0,,,,,,2.0
5,5,0,Medium,3,0,,,,,,4.0
5,5,0,High,0,0,,,,,,
6,6,0,Low,2,0,,,,,,3.0
6,6,0,Medium,3,0,,,,,,5.0
6,6,0,High,1,0,,,,,,0.0
7,7,0,Low,2,0,,,,,,4.0
7,7,0,Medium,3,0,,,,,,6.0
7,7,0,High,2,0,,,,,,1.0
8,8,0,Low,2,0,,,,,,5.0
8,8,0,Medium,4,0,,,,,,7.0
8,8,0,High,2,0,,,,,,2.0
9,9,0,Low,2,0,,,,,,6.0
9,9,0,Medium,4,0,,,,,,8.0
9,9,0,High,3,0,,,,,,3.0
10,10,0,Low,3,0,,,,,,7.0
10,10,0,Medium,4,0,,,,,,9.0
10,10,0,High,3,0,,,,,,4.0
11,11,0,Low,3,0,,,,,,8.0
11,11,0,Medium,4,0,,,,,,10.0
11,11,0,High,4,0,,,,,,5.0
12,12,0,Low,3,0,,,,,,9.0
12,12,0,Medium,5,0,,,,,,11.0
12,12,0,High,4,0,,,,,,6.0
13,13,0,Low,3,0,,,,,,10.0
13,13,0,Medium,5,0,,,,,,12.0
13,13,0,High,5,0,,,,,,7.0
14,14,0,Low,3,0,,,,,,11.0
14,14,0,Medium,6,0,,,,,,13.0
14,14,0,High,5,0,,,,,,8.0
15,15,0,Low,4,0,,,,,,12.0
15,15,0,Medium,6,0,,,,,,14.0
15,15,0,High,5,0,,,,,,9.0
16,16,0,Low,5,0,,,,,,13.0
16,16,0,Medium,6,0,,,,,,15.0
16,16,0,High,5,0,,,,,,10.0
17,17,0,Low,5,0,,,,,,14.0
17,17,0,Medium,6,0,,,,,,16.0
17,17,0,High,6,0,,,,,,11.0
18,18,0,Low,5,0,,,,,,15.0
18,18,0,Medium,7,0,,,,,,17.0
18,18,0,High,6,0,,,,,,12.0
19,19,0,Low,5,0,,,,,,16.0
19,19,0,Medium,8,0,,,,,,18.0
19,19,0,High,6,0,,,,,,13.0
20,20,0,Low,5,0,,,,,,17.0
20,20,0,Medium,9,0,,,,,,19.0
20,20,0,High,6,0,,,,,,14.0
21,21,0,Low,6,0,,,,,,18.0
21,21,0,Medium,9,0,,,,,,20.0
21,21,0,High,6,0,,,,,,15.0
22,22,0,Low,6,0,,,,,,19.0
22,22,0,Medium,10,0,,,,,,21.0
22,22,0,High,6,0,,,,,,16.0
23,23,0,Low,6,0,,,,,,20.0
