simulation_day,patients_treated,total_pfs_available,biomarker_group,group_pfs_count,mean_pfs,pfs_sd,lower_boundary,upper_boundary
113,113,1,Low,1.0,96.0,,,
114,114,1,Low,1.0,96.0,,,
115,115,1,Low,1.0,96.0,,,
116,116,1,Low,1.0,96.0,,,
117,117,1,Low,1.0,96.0,,,
118,118,1,Low,1.0,96.0,,,
119,119,1,Low,1.0,96.0,,,
120,120,1,Low,1.0,96.0,,,
121,121,1,Low,1.0,96.0,,,
122,122,1,Low,1.0,96.0,,,
123,123,1,Low,1.0,96.0,,,
124,124,1,Low,1.0,96.0,,,
125,125,1,Low,1.0,96.0,,,
126,126,2,Low,1.0,96.0,,,
126,126,2,Medium,1.0,124.0,,,
127,127,2,Low,1.0,96.0,,,
127,127,2,Medium,1.0,124.0,,,
128,128,2,Low,1.0,96.0,,,
128,128,2,Medium,1.0,124.0,,,
129,129,2,Low,1.0,96.0,,,
129,129,2,Medium,1.0,124.0,,,
130,130,3,High,1.0,39.0,,,
130,130,3,Low,1.0,96.0,,,
130,130,3,Medium,1.0,124.0,,,
131,131,3,High,1.0,39.0,,,
131,131,3,Low,1.0,96.0,,,
131,131,3,Medium,1.0,124.0,,,
132,132,3,High,1.0,39.0,,,
132,132,3,Low,1.0,96.0,,,
132,132,3,Medium,1.0,124.0,,,
133,133,3,High,1.0,39.0,,,
133,133,3,Low,1.0,96.0,,,
133,133,3,Medium,1.0,124.0,,,
134,134,3,High,1.0,39.0,,,
134,134,3,Low,1.0,96.0,,,
134,134,3,Medium,1.0,124.0,,,
135,135,3,High,1.0,39.0,,,
135,135,3,Low,1.0,96.0,,,
135,135,3,Medium,1.0,124.0,,,
136,136,3,High,1.0,39.0,,,
136,136,3,Low,1.0,96.0,,,
136,136,3,Medium,1.0,124.0,,,
137,137,3,High,1.0,39.0,,,
137,137,3,Low,1.0,96.0,,,
137,137,3,Medium,1.0,124.0,,,
138,138,3,High,1.0,39.0,,,
138,138,3,Low,1.0,96.0,,,
138,138,3,Medium,1.0,124.0,,,
139,139,3,High,1.0,39.0,,,
139,139,3,Low,1.0,96.0,,,
139,139,3,Medium,1.0,124.0,,,
140,140,3,High,1.0,39.0,,,
140,140,3,Low,1.0,96.0,,,
140,140,3,Medium,1.0,124.0,,,
141,141,4,High,1.0,39.0,,,
141,141,4,Low,1.0,96.0,,,
141,141,4,Medium,2.0,104.5,27.577164466275352,49.345671067449295,159.6543289325507
142,142,4,High,1.0,39.0,,,
142,142,4,Low,1.0,96.0,,,
142,142,4,Medium,2.0,104.5,27.577164466275352,49.345671067449295,159.6543289325507
143,143,4,High,1.0,39.0,,,
143,143,4,Low,1.0,96.0,,,
143,143,4,Medium,2.0,104.5,27.577164466275352,49.345671067449295,159.6543289325507
144,144,4,High,1.0,39.0,,,
144,144,4,Low,1.0,96.0,,,
144,144,4,Medium,2.0,104.5,27.577164466275352,49.345671067449295,159.6543289325507
145,145,4,High,1.0,39.0,,,
145,145,4,Low,1.0,96.0,,,
145,145,4,Medium,2.0,104.5,27.577164466275352,49.345671067449295,159.6543289325507
146,146,4,High,1.0,39.0,,,
146,146,4,Low,1.0,96.0,,,
146,146,4,Medium,2.0,104.5,27.577164466275352,49.345671067449295,159.6543289325507
147,147,4,High,1.0,39.0,,,
147,147,4,Low,1.0,96.0,,,
147,147,4,Medium,2.0,104.5,27.577164466275352,49.345671067449295,159.6543289325507
148,148,4,High,1.0,39.0,,,
148,148,4,Low,1.0,96.0,,,
148,148,4,Medium,2.0,104.5,27.577164466275352,49.345671067449295,159.6543289325507
149,149,5,High,1.0,39.0,,,
149,149,5,Low,1.0,96.0,,,
149,149,5,Medium,3.0,111.66666666666667,23.11565126344775,65.43536413977117,157.89796919356218
150,150,5,High,1.0,39.0,,,
150,150,5,Low,1.0,96.0,,,
150,150,5,Medium,3.0,111.66666666666667,23.11565126344775,65.43536413977117,157.89796919356218
151,151,5,High,1.0,39.0,,,
151,151,5,Low,1.0,96.0,,,
151,151,5,Medium,3.0,111.66666666666667,23.11565126344775,65.43536413977117,157.89796919356218
152,152,5,High,1.0,39.0,,,
152,152,5,Low,1.0,96.0,,,
152,152,5,Medium,3.0,111.66666666666667,23.11565126344775,65.43536413977117,157.89796919356218
153,153,5,High,1.0,39.0,,,
153,153,5,Low,1.0,96.0,,,
153,153,5,Medium,3.0,111.66666666666667,23.11565126344775,65.43536413977117,157.89796919356218
154,154,5,High,1.0,39.0,,,
154,154,5,Low,1.0,96.0,,,
154,154,5,Medium,3.0,111.66666666666667,23.11565126344775,65.43536413977117,157.89796919356218
155,155,6,High,1.0,39.0,,,
155,155,6,Low,1.0,96.0,,,
155,155,6,Medium,4.0,115.25,20.1886932051912,74.8726135896176,155.6273864103824
156,156,6,High,1.0,39.0,,,
156,156,6,Low,1.0,96.0,,,
156,156,6,Medium,4.0,115.25,20.1886932051912,74.8726135896176,155.6273864103824
157,157,6,High,1.0,39.0,,,
157,157,6,Low,1.0,96.0,,,
157,157,6,Medium,4.0,115.25,20.1886932051912,74.8726135896176,155.6273864103824
158,158,6,High,1.0,39.0,,,
158,158,6,Low,1.0,96.0,,,
158,158,6,Medium,4.0,115.25,20.1886932051912,74.8726135896176,155.6273864103824
159,159,6,High,1.0,39.0,,,
159,159,6,Low,1.0,96.0,,,
159,159,6,Medium,4.0,115.25,20.1886932051912,74.8726135896176,155.6273864103824
160,160,6,High,1.0,39.0,,,
160,160,6,Low,1.0,96.0,,,
160,160,6,Medium,4.0,115.25,20.1886932051912,74.8726135896176,155.6273864103824
161,161,6,High,1.0,39.0,,,
161,161,6,Low,1.0,96.0,,,
161,161,6,Medium,4.0,115.25,20.1886932051912,74.8726135896176,155.6273864103824
162,162,6,High,1.0,39.0,,,
162,162,6,Low,1.0,96.0,,,
162,162,6,Medium,4.0,115.25,20.1886932051912,74.8726135896176,155.6273864103824
163,163,8,High,1.0,39.0,,,
163,163,8,Low,1.0,96.0,,,
163,163,8,Medium,6.0,122.5,22.36738697300156,77.76522605399688,167.23477394600312
164,164,8,High,1.0,39.0,,,
164,164,8,Low,1.0,96.0,,,
164,164,8,Medium,6.0,122.5,22.36738697300156,77.76522605399688,167.23477394600312
165,165,8,High,1.0,39.0,,,
165,165,8,Low,1.0,96.0,,,
165,165,8,Medium,6.0,122.5,22.36738697300156,77.76522605399688,167.23477394600312
166,166,10,High,1.0,39.0,,,
166,166,10,Low,2.0,129.0,46.66904755831214,35.661904883375726,222.3380951166243
166,166,10,Medium,7.0,107.42857142857143,44.79902209817064,17.830527232230153,197.02661562491272
167,167,10,High,1.0,39.0,,,
167,167,10,Low,2.0,129.0,46.66904755831214,35.661904883375726,222.3380951166243
167,167,10,Medium,7.0,107.42857142857143,44.79902209817064,17.830527232230153,197.02661562491272
168,168,11,High,1.0,39.0,,,
168,168,11,Low,2.0,129.0,46.66904755831214,35.661904883375726,222.3380951166243
168,168,11,Medium,8.0,111.125,42.7732810458652,25.578437908269606,196.67156209173038
169,169,11,High,1.0,39.0,,,
169,169,11,Low,2.0,129.0,46.66904755831214,35.661904883375726,222.3380951166243
169,169,11,Medium,8.0,111.125,42.7732810458652,25.578437908269606,196.67156209173038
170,170,12,High,1.0,39.0,,,
170,170,12,Low,3.0,132.66666666666666,33.605555096342826,65.455556473981,199.8777768593523
170,170,12,Medium,8.0,111.125,42.7732810458652,25.578437908269606,196.67156209173038
171,171,13,High,1.0,39.0,,,
171,171,13,Low,4.0,119.75,37.686204372422544,44.37759125515491,195.12240874484507
171,171,13,Medium,8.0,111.125,42.7732810458652,25.578437908269606,196.67156209173038
172,172,13,High,1.0,39.0,,,
172,172,13,Low,4.0,119.75,37.686204372422544,44.37759125515491,195.12240874484507
172,172,13,Medium,8.0,111.125,42.7732810458652,25.578437908269606,196.67156209173038
173,173,13,High,1.0,39.0,,,
